	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
QCR6L	NA	NA	0.795	NA	NA	1.057	NA	NA	1.173
UBA6	1.08	0.993	1.061	NA	1.155	1.227	0.979	0.99	NA
ESYT2	1.097	0.973	NA	0.931	1.16	NA	0.842	0.885	NA
TM223	NA	NA	NA	NA	NA	NA	NA	NA	NA
GXLT2	NA	NA	0.896	NA	NA	0.961	NA	NA	NA
T120B	NA	NA	NA	NA	NA	NA	NA	0.82	NA
RHG10	NA	NA	NA	0.911	NA	NA	0.895	NA	NA
HACL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPD2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCD78	NA	NA	0.484	NA	NA	0.581	NA	NA	NA
NBAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
F234B	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEIOC	NA	NA	NA	NA	1.071	NA	NA	0.909	NA
DEND3	NA	NA	NA	NA	NA	NA	NA	NA	NA
VWA8	NA	0.986	1.011	0.905	1.146	NA	0.863	0.87	NA
SBNO1	NA	0.93	NA	NA	NA	NA	NA	NA	NA
WDR91	NA	NA	0.919	NA	NA	1.058	NA	NA	1.137
MBLC1	NA	NA	0.711	NA	NA	0.621	NA	NA	NA
EFCB5	NA	0.859	NA	NA	1.141	1.046	NA	NA	NA
AN34B	0.963	NA	NA	NA	NA	NA	NA	0.439	NA
CNOT1	1.095	0.954	1.09	0.877	1.018	1.067	0.843	0.919	1.546
BDP1	NA	NA	NA	NA	NA	1.236	NA	NA	1.367
CC88B	NA	NA	NA	NA	NA	1.189	NA	NA	1.103
CB072	NA	NA	NA	NA	NA	NA	NA	NA	NA
FA83G	NA	NA	1.097	NA	NA	1.228	NA	NA	1.407
PGP	NA	NA	NA	NA	NA	1.494	NA	NA	NA
CE051	NA	NA	0.821	NA	1.29	1.546	NA	NA	1.131
F181B	NA	NA	NA	NA	8.514	NA	NA	9.033	NA
RFOX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBAL3	0.925	1.134	0.674	0.894	1.493	0.773	0.81	NA	0.623
SMHD1	1.222	0.952	NA	0.951	1.135	NA	0.787	1.05	NA
WTIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN233	NA	NA	NA	NA	NA	1.474	NA	NA	NA
ASB14	NA	NA	NA	NA	NA	NA	NA	NA	NA
INY2B	1.256	0.934	1.044	1.01	NA	1.177	0.932	0.923	1.267
SNTAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP27	1.01	1.011	1.15	NA	1.014	NA	0.874	NA	NA
LRIQ3	NA	NA	NA	NA	NA	1.255	NA	NA	NA
ZSWM8	NA	NA	NA	NA	NA	NA	NA	NA	NA
WASH1	NA	NA	NA	NA	0.857	1.393	0.812	NA	NA
P20L1	NA	NA	0.927	NA	NA	1.012	NA	NA	0.747
MYO9A	NA	NA	NA	NA	NA	2.013	NA	NA	2.254
S14L6	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPHRA	1.078	0.948	NA	1.296	1.117	NA	0.803	0.87	0.818
HNRC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
AK1BF	NA	NA	NA	NA	NA	NA	NA	NA	0.994
PROB1	NA	NA	NA	NA	NA	NA	NA	NA	1.086
DNS2A	NA	NA	NA	NA	NA	NA	0.765	NA	NA
