"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"KMT5A" -0.820766666666667 0.924636678004535 -11.242187792139 6.82679506435453e-05 0.0871781729718073 -1.31451332472351
"JIP4" 2.7969 1.60702453703704 24.8922912095815 8.38774762181488e-06 0.0214223074261152 -1.70233673793624
"RRP36" -0.158933333333333 1.06380709325397 -3.40993364595123 0.013311786252368 1 -2.67232781003513
"SH2B3" -0.646983333333333 1.33652751322751 -4.12581880860669 0.0125909804628765 1 -2.7145177845939
"HABP4" -0.29355 0.993694593253968 -3.33415194931538 0.014661769277529 1 -2.73845732046021
"ACTZ" -0.949983333333333 0.937496111111111 -7.02678583844137 0.00435298933710082 1 -2.80377012565523
"PCYOX" -0.898 1.17016468253968 -6.57521536347175 0.00535216610324195 1 -3.08603724919564
"XRN2" 0.561583333333333 1.12651611111111 4.64342120451573 0.0153257024735476 1 -3.1174236118408
"PP1R8" -0.238766666666667 0.958408571428571 -3.7336707361159 0.0285799103588711 1 -3.17163632096209
"1433T" -1.11283333333333 1.38811111111111 -12.5530224464964 0.00369022592085446 1 -3.18269493927492
"DMXL2" 2.29005 2.18809791666667 8.15799703661922 0.00972890123513986 1 -3.25955232302385
"CRLF3" 0.547083333333333 2.10333958333333 6.89462876911689 0.0141342831619552 1 -3.30913226887875
"TM119" 1.81128333333333 1.53825625 6.66712713141083 0.015219881633435 1 -3.3207618892191
"ACOT9" -0.119288888888889 1.05483963844797 -2.57946089057884 0.035265921153142 1 -3.38776253211929
"FLNC" 0.477583333333333 1.46208958333333 5.63560313325184 0.0219828219315344 1 -3.38907459865892
"LUM" 0.250477777777778 0.92499417989418 3.02208054502466 0.0357191923921905 1 -3.40532061494745
"HSP13" -0.24 1.13050634920635 -3.52629983697798 0.0334422100146966 1 -3.41628194003487
"ITCH" -0.145838888888888 1.09023625992063 -2.61565622754376 0.038129122668837 1 -3.41876681939458
"NUMA1" 0.220327777777778 1.03336125992063 2.60149823384341 0.0388791143743785 1 -3.43303315056609
